69.125,,69.125
65.25,68.045526,65.25
61.375,63.881296,61.375
57.5,59.536541,57.5
56.75,56.115918,56.75
56,55.655898,56
55.25,55.36309,55.25
54.5,55.208895,54.5
57.5,55.085266,57.5
60.5,57.680045,60.5
63.5,61.361641,63.5
66.5,64.668162,66.5
70,67.805188,70
73.5,71.003165,73.5
77,73.895723,77
78.125,76.538019,78.125
79.25,77.587639,79.25
80.375,78.973419,80.375
81.5,79.612471,81.5
80.75,80.06696,80.75
80,79.855597,80
79.25,79.27274,79.25
78.5,77.722261,78.5
76.125,75.457616,76.125
73.75,72.272358,73.75
71.375,69.926032,69.926032
69,66.759432,69
67.5625,66.137398,67.5625
66.125,65.116032,66.125
64.6875,64.141893,64.6875
63.25,63.148152,63.25
61.8125,62.07701,62.07701
60.375,61.342722,60.375
58.9375,59.993701,58.9375
57.5,59.020663,57.5
59,57.979091,57.979091
60.5,58.742418,60.5
62,61.472891,61.472891
63.5,62.476525,63.5
65.5,64.37557,64.37557
67.5,64.934522,64.934522
69.5,65.942301,65.942301
70.5,66.728632,70.5
71.5,71.202658,71.5
72.5,72.0912,72.5
73.5,72.600858,73.5
71.125,72.68582,71.125
